t,fsm,x,y,z,yaw,vx,vy,vz,front,back,left,right,up,down,az,default_direction,orientation,direction
1,FSM.TAKE_OFF,-0.01123046875,0.038482666015625,0.0091094970703125,-0.10125732421875,-0.003917694091796875,0.05145263671875,-0.00370025634765625,1952,1011,32766,32766,32766,9.0,0.007381439208984375,LEFT,DEVANT,LEFT
2,FSM.TAKE_OFF,-0.0106658935546875,0.039398193359375,0.00908660888671875,-0.058990478515625,0.00531768798828125,0.04510498046875,-0.0019931793212890625,1946,32766,32766,32766,32766,9.0,0.005191802978515625,LEFT,DEVANT,LEFT
3,FSM.TAKE_OFF,-0.0102386474609375,0.041748046875,0.01073455810546875,-0.236328125,0.01110076904296875,0.047943115234375,0.0086212158203125,1946,32766,32766,32766,32766,14.0,0.010986328125,LEFT,DEVANT,LEFT
4,FSM.TAKE_OFF,-0.00955963134765625,0.044219970703125,0.01177215576171875,-0.355224609375,0.01523590087890625,0.0504150390625,0.04168701171875,1942,1016,32766,32766,32766,14.0,0.139404296875,LEFT,DEVANT,LEFT
5,FSM.TAKE_OFF,0.01226043701171875,0.046722412109375,0.01551055908203125,-0.030487060546875,0.10064697265625,0.041473388671875,0.1444091796875,1942,1006,32766,32766,32766,6.0,0.1251220703125,LEFT,DEVANT,LEFT
6,FSM.TAKE_OFF,0.0238494873046875,0.049407958984375,0.01432037353515625,0.3486328125,0.0946044921875,0.023773193359375,0.1451416015625,1942,1006,32766,32766,32766,0.0,0.11053466796875,RIGHT,DEVANT,LEFT
7,FSM.TAKE_OFF,0.01308441162109375,0.03985595703125,0.0189056396484375,0.939453125,0.0289154052734375,-0.0031375885009765625,0.190673828125,1953,32766,32766,32766,32766,0.0,0.07861328125,RIGHT,DEVANT,LEFT
8,FSM.TAKE_OFF,0.00969696044921875,0.0440673828125,0.02630615234375,1.484375,-0.01812744140625,0.01178741455078125,0.2330322265625,1953,32766,32766,1814,32766,36.0,0.046630859375,RIGHT,DEVANT,LEFT
9,FSM.TAKE_OFF,0.01116943359375,0.042236328125,0.0426025390625,1.845703125,-0.029144287109375,-0.0024852752685546875,0.2496337890625,1972,986,32766,1814,32766,36.0,0.0176544189453125,RIGHT,DEVANT,LEFT
10,FSM.TAKE_OFF,0.007045745849609375,0.041107177734375,0.08233642578125,1.888671875,-0.054229736328125,-0.0005421638488769531,0.295166015625,1991,1003,32766,32766,32766,77.0,-0.051849365234375,RIGHT,DEVANT,LEFT
11,FSM.TAKE_OFF,0.0012960433959960938,0.042388916015625,0.10113525390625,1.64453125,-0.07293701171875,0.0096435546875,0.318115234375,1991,1003,32766,1776,32766,118.0,-0.0625,RIGHT,DEVANT,LEFT
12,FSM.TAKE_OFF,-0.004608154296875,0.042266845703125,0.125,1.236328125,-0.07623291015625,0.00862884521484375,0.2841796875,1990,973,32766,1776,32766,118.0,-0.0762939453125,RIGHT,DEVANT,LEFT
13,FSM.TAKE_OFF,-0.007793426513671875,0.04266357421875,0.1298828125,0.96728515625,-0.07330322265625,0.001987457275390625,0.2144775390625,1990,973,32766,2037,32766,132.0,-0.0894775390625,RIGHT,DEVANT,LEFT
14,FSM.TAKE_OFF,-0.01413726806640625,0.04083251953125,0.1416015625,0.55615234375,-0.0679931640625,-0.006046295166015625,0.1741943359375,2007,937,32766,2037,32766,132.0,-0.07269287109375,RIGHT,DEVANT,LEFT
15,FSM.TAKE_OFF,-0.018341064453125,0.04034423828125,0.1434326171875,0.330810546875,-0.058197021484375,-0.0097808837890625,0.1175537109375,2007,937,32766,2177,32766,144.0,-0.059600830078125,RIGHT,DEVANT,LEFT
